Age,Loan_Amount,Income_Level,Income_Source,Default_Status
52.0,21410.0,High,Daily Wage,Paid
50.0,24519.0,Medium,Salary,Paid
38.0,11051.0,High,Salary,Paid
49.0,19765.0,Low,Daily Wage,Paid
40.0,21382.0,Low,Salary,Paid
50.0,22580.0,High,Daily Wage,Paid
20.0,42323.0,Medium,Salary,Default
35.0,21939.0,Low,Salary,Paid
42.0,39964.0,Low,Daily Wage,Paid
59.0,10307.0,High,Salary,Paid
48.0,13359.0,Medium,Salary,Paid
20.0,39648.0,Medium,Salary,Paid
57.0,45944.0,Low,Small Business,Paid
63.0,44019.0,Low,Daily Wage,Paid
41.0,48134.0,High,Salary,Default
49.0,37323.0,Low,Small Business,Paid
64.0,16226.0,Medium,Daily Wage,Paid
39.0,31689.0,High,Salary,Paid
40.0,40971.0,Low,Small Business,Paid
19.0,35954.0,Medium,Salary,Default
44.0,34423.0,Medium,Daily Wage,Paid
59.0,40391.0,Medium,Salary,Paid
19.0,24330.0,Medium,Salary,Paid
43.0,14891.0,Low,Commission,Default
34.0,14992.0,Medium,Daily Wage,Paid
57.0,11961.0,Medium,Commission,Paid
50.0,22497.0,Medium,Salary,Paid
26.0,42551.0,Low,Daily Wage,Paid
60.0,20848.0,Medium,Salary,Default
56.0,23255.0,High,Salary,Paid
46.0,14567.0,Medium,Daily Wage,Paid
59.0,49281.0,Medium,Daily Wage,Paid
43.0,30389.0,Medium,Small Business,Paid
52.0,26567.0,High,Commission,Paid
42.0,13358.0,High,Daily Wage,Paid
41.0,32999.0,Low,Daily Wage,Default
30.0,20988.0,Medium,Small Business,Paid
24.0,41521.0,Low,Salary,Default
53.0,15698.0,Medium,Daily Wage,Paid
62.0,11273.0,Low,Pension,Default
37.0,37543.0,High,Daily Wage,Paid
18.0,41349.0,Low,Salary,Paid
25.0,21241.0,Medium,Salary,Paid
,19497.0,Medium,Salary,Paid
33.0,42703.0,Low,Daily Wage,Paid
31.0,41954.0,High,Salary,Paid
29.0,18002.0,High,Commission,Paid
40.0,14247.0,Medium,Salary,Paid
32.0,31698.0,Medium,Salary,Paid
,29738.0,Low,Daily Wage,Paid
51.0,20703.0,Medium,Small Business,Paid
19.0,27570.0,Low,Commission,Paid
49.0,22392.0,Medium,Small Business,Paid
40.0,42299.0,High,Salary,Paid
39.0,25641.0,Low,Commission,Paid
42.0,23998.0,High,Daily Wage,Paid
39.0,16305.0,Low,Salary,Default
39.0,42726.0,High,Salary,Paid
59.0,28782.0,Low,Salary,Paid
23.0,22721.0,Medium,Small Business,Paid
32.0,49763.0,Low,Salary,Paid
60.0,22427.0,High,Daily Wage,Paid
54.0,30566.0,Medium,Daily Wage,Paid
50.0,12230.0,Low,Daily Wage,Default
,16511.0,Medium,Salary,Paid
61.0,36177.0,Medium,Daily Wage,Paid
61.0,14765.0,Medium,Daily Wage,Paid
22.0,30354.0,High,Salary,Paid
56.0,33929.0,Medium,Small Business,Paid
21.0,38820.0,Low,Pension,Paid
23.0,39523.0,Low,Commission,Paid
62.0,15552.0,Medium,Small Business,Paid
49.0,10627.0,Medium,Daily Wage,Paid
47.0,21989.0,Low,Small Business,Paid
64.0,23780.0,Low,Salary,Default
52.0,16589.0,Medium,Salary,Paid
57.0,44812.0,High,Salary,Paid
33.0,38128.0,Low,Small Business,Paid
30.0,48652.0,Medium,Salary,Paid
59.0,37790.0,Medium,Daily Wage,Paid
,10249.0,Medium,Salary,Paid
36.0,29309.0,Low,Daily Wage,Default
,,Medium,Commission,Paid
36.0,33576.0,High,Salary,Paid
45.0,41508.0,Low,Salary,Paid
43.0,19175.0,Medium,Pension,Paid
54.0,35464.0,Low,Salary,Paid
43.0,26260.0,Low,Daily Wage,Default
40.0,45440.0,Medium,Daily Wage,Paid
26.0,39546.0,Medium,Salary,Paid
29.0,11987.0,Low,Small Business,Default
18.0,35105.0,Medium,Small Business,Paid
18.0,22948.0,Medium,Commission,Paid
64.0,23026.0,Medium,Daily Wage,Paid
51.0,12773.0,Medium,Daily Wage,Paid
49.0,19878.0,Low,Daily Wage,Default
42.0,20377.0,High,Small Business,Paid
57.0,17347.0,Medium,Daily Wage,Paid
62.0,43776.0,Medium,Daily Wage,Paid
,13783.0,High,Salary,Paid
33.0,14298.0,Low,Salary,Paid
56.0,14668.0,Low,Salary,Paid
22.0,30671.0,Medium,Salary,Paid
39.0,44820.0,Medium,Salary,Paid
46.0,44484.0,High,Salary,Paid
20.0,43078.0,High,Small Business,Paid
29.0,30922.0,Low,Salary,Paid
43.0,44028.0,Medium,Daily Wage,Default
33.0,30316.0,Medium,Daily Wage,Paid
54.0,21460.0,Low,Daily Wage,Default
39.0,26968.0,Medium,Small Business,Default
46.0,40266.0,Medium,Daily Wage,Paid
31.0,40209.0,Medium,Pension,Paid
45.0,34000.0,Low,Daily Wage,Paid
22.0,24011.0,Low,Small Business,Paid
64.0,12866.0,Low,Small Business,Paid
47.0,15898.0,High,Salary,Paid
63.0,28395.0,Low,Salary,Default
22.0,49019.0,High,Daily Wage,Paid
29.0,47707.0,Medium,Salary,Paid
33.0,14006.0,Medium,Daily Wage,Paid
43.0,44393.0,Medium,Salary,Paid
43.0,20956.0,Medium,Small Business,Paid
38.0,40663.0,Medium,Daily Wage,Paid
56.0,16078.0,Medium,Small Business,Paid
53.0,39631.0,Medium,Salary,Paid
50.0,40140.0,Medium,Salary,Default
47.0,13961.0,Medium,Pension,Paid
54.0,39277.0,Low,Salary,Paid
40.0,41417.0,Medium,Salary,Paid
27.0,32484.0,High,Salary,Paid
22.0,28103.0,Low,Pension,Default
53.0,39345.0,Low,Daily Wage,Paid
51.0,49454.0,Low,Salary,Paid
48.0,,Medium,Salary,Paid
27.0,31031.0,Low,Daily Wage,Paid
36.0,36212.0,Medium,Daily Wage,Default
49.0,20350.0,Low,Daily Wage,Default
18.0,28816.0,Low,Salary,Default
22.0,30288.0,Medium,Small Business,Paid
62.0,39432.0,Low,Small Business,Paid
21.0,16837.0,High,Salary,Paid
33.0,44217.0,Low,Daily Wage,Paid
41.0,30884.0,Medium,Daily Wage,Paid
33.0,15454.0,Low,Salary,Default
19.0,19424.0,Low,Salary,Default
45.0,46885.0,High,Daily Wage,Paid
49.0,28412.0,High,Salary,Paid
44.0,49613.0,Low,Pension,Paid
37.0,30142.0,Medium,Salary,Paid
41.0,47392.0,Medium,Small Business,Paid
29.0,18848.0,Low,Salary,Paid
52.0,23136.0,Low,Daily Wage,Paid
50.0,10589.0,High,Daily Wage,Paid
50.0,30908.0,High,Small Business,Paid
60.0,16509.0,High,Salary,Paid
54.0,19968.0,Medium,Salary,Paid
29.0,12462.0,Medium,Daily Wage,Paid
20.0,19460.0,Low,Salary,Paid
18.0,43783.0,Low,Daily Wage,Paid
50.0,19275.0,Low,Daily Wage,Default
57.0,38677.0,Medium,Daily Wage,Paid
27.0,23269.0,Medium,Salary,Paid
60.0,10406.0,High,Daily Wage,Paid
61.0,17384.0,High,Daily Wage,Paid
46.0,32553.0,High,Salary,Paid
30.0,34366.0,High,Salary,Paid
29.0,27369.0,Low,Salary,Paid
48.0,21795.0,Medium,Salary,Paid
63.0,14485.0,Medium,Commission,Default
19.0,12618.0,Low,Daily Wage,Paid
52.0,40143.0,High,Daily Wage,Paid
40.0,39425.0,High,Salary,Paid
34.0,32673.0,Low,Daily Wage,Paid
43.0,19603.0,Low,Salary,Default
25.0,49696.0,Medium,Salary,Paid
46.0,15368.0,Medium,Commission,Default
43.0,14621.0,High,Small Business,Paid
27.0,24719.0,Low,Pension,Default
43.0,39227.0,Low,Daily Wage,Paid
51.0,17566.0,Low,Small Business,Paid
58.0,22306.0,Low,Daily Wage,Paid
24.0,34042.0,Low,Salary,Paid
21.0,25086.0,High,Salary,Paid
62.0,27387.0,Low,Daily Wage,Default
28.0,37042.0,Medium,Salary,Default
46.0,33888.0,Low,Daily Wage,Paid
53.0,36514.0,Low,Daily Wage,Paid
42.0,28323.0,High,Pension,Paid
38.0,28019.0,Medium,Daily Wage,Paid
53.0,19890.0,Medium,Daily Wage,Default
27.0,20283.0,Medium,Salary,Paid
54.0,28279.0,Low,Small Business,Paid
26.0,32908.0,Medium,Daily Wage,Paid
41.0,47952.0,Low,Salary,Paid
52.0,45170.0,High,Small Business,Paid
52.0,47663.0,Low,Daily Wage,Default
53.0,19343.0,Medium,Daily Wage,Paid
35.0,20637.0,Low,Small Business,Paid
56.0,44724.0,Medium,Salary,Paid
49.0,49791.0,High,Small Business,Paid
41.0,39134.0,Medium,Daily Wage,Paid
40.0,13907.0,Medium,Pension,Paid
49.0,43575.0,High,Pension,Paid
54.0,14827.0,Medium,Daily Wage,Paid
29.0,40607.0,Low,Daily Wage,Default
30.0,23699.0,Low,Commission,Paid
40.0,47292.0,Medium,Salary,Paid
42.0,35883.0,Medium,Salary,Paid
52.0,15313.0,Low,Salary,Paid
58.0,23598.0,Low,Small Business,Paid
47.0,38807.0,High,Small Business,Paid
34.0,14887.0,Low,Daily Wage,Paid
37.0,13854.0,Medium,Daily Wage,Paid
42.0,24536.0,Low,Small Business,Paid
39.0,13558.0,High,Small Business,Paid
30.0,19772.0,Low,Salary,Paid
36.0,46343.0,Medium,Commission,Paid
53.0,45186.0,Low,Salary,Paid
29.0,46966.0,Medium,Daily Wage,Paid
58.0,43769.0,High,Small Business,Paid
36.0,49887.0,Low,Salary,Paid
29.0,29229.0,Medium,Daily Wage,Default
26.0,19673.0,Medium,Daily Wage,Paid
24.0,37877.0,Low,Small Business,Paid
45.0,41601.0,High,Commission,Paid
31.0,48084.0,Low,Daily Wage,Paid
48.0,26244.0,Medium,Daily Wage,Paid
36.0,37356.0,Low,Salary,Paid
64.0,26806.0,Low,Small Business,Default
33.0,33099.0,Low,Salary,Paid
22.0,47034.0,Medium,Salary,Paid
52.0,29094.0,Medium,Salary,Default
29.0,20589.0,Medium,Daily Wage,Paid
42.0,11657.0,Low,Salary,Paid
38.0,42764.0,Low,Daily Wage,Paid
53.0,49531.0,Medium,Small Business,Paid
40.0,13164.0,High,Daily Wage,Paid
33.0,37542.0,Low,Salary,Paid
56.0,28437.0,Medium,Daily Wage,Paid
62.0,48505.0,Low,Salary,Paid
59.0,29601.0,Medium,Daily Wage,Paid
56.0,38430.0,High,Daily Wage,Paid
31.0,16009.0,High,Daily Wage,Paid
,14552.0,Medium,Small Business,Paid
22.0,19417.0,Low,Salary,Paid
52.0,12671.0,High,Salary,Paid
40.0,16519.0,Medium,Salary,Paid
46.0,46730.0,Low,Salary,Paid
60.0,22734.0,Medium,Salary,Paid
28.0,13722.0,High,Commission,Paid
35.0,14906.0,High,Salary,Paid
64.0,40096.0,Low,Daily Wage,Paid
29.0,23699.0,Medium,Pension,Default
26.0,31438.0,High,Daily Wage,Paid
27.0,43576.0,Low,Small Business,Paid
61.0,42247.0,Medium,Daily Wage,Paid
34.0,37938.0,Medium,Salary,Paid
55.0,27600.0,Medium,Daily Wage,Paid
24.0,30435.0,Low,Pension,Default
63.0,28581.0,Medium,Salary,Paid
30.0,24191.0,High,Daily Wage,Paid
57.0,29190.0,Medium,Daily Wage,Paid
59.0,37386.0,Medium,Salary,Paid
26.0,41721.0,Low,Salary,Default
44.0,23704.0,Low,Salary,Paid
19.0,12123.0,Medium,Daily Wage,Paid
22.0,35174.0,Low,Salary,Default
46.0,24586.0,High,Salary,Paid
54.0,41976.0,Low,Daily Wage,Paid
55.0,35416.0,Medium,Daily Wage,Paid
36.0,11814.0,Low,Salary,Paid
25.0,23001.0,High,Commission,Paid
62.0,26508.0,Low,Daily Wage,Paid
18.0,29630.0,Low,Small Business,Paid
,23380.0,Low,Daily Wage,Default
34.0,45699.0,High,Salary,Paid
24.0,22317.0,Low,Salary,Default
42.0,45739.0,Low,Daily Wage,Paid
62.0,44785.0,Low,Salary,Default
21.0,41980.0,Medium,Small Business,Paid
53.0,33799.0,Low,Pension,Paid
23.0,45183.0,Low,Daily Wage,Default
48.0,39166.0,Low,Daily Wage,Default
36.0,29480.0,Medium,Commission,Paid
61.0,11609.0,Medium,Daily Wage,Paid
56.0,10717.0,Medium,Salary,Paid
44.0,29945.0,High,Daily Wage,Paid
27.0,35592.0,High,Salary,Paid
43.0,38141.0,Low,Daily Wage,Default
36.0,40009.0,Medium,Small Business,Paid
56.0,16782.0,Medium,Small Business,Paid
20.0,36536.0,High,Daily Wage,Paid
62.0,43816.0,Medium,Small Business,Paid
30.0,35933.0,Medium,Salary,Paid
45.0,21618.0,Medium,Daily Wage,Paid
37.0,18307.0,High,Small Business,Paid
45.0,36671.0,Low,Salary,Paid
25.0,20338.0,Low,Daily Wage,Paid
58.0,48346.0,Low,Daily Wage,Paid
56.0,16548.0,Low,Commission,Paid
18.0,31164.0,Medium,Small Business,Paid
20.0,37526.0,Low,Small Business,Paid
30.0,41222.0,Low,Daily Wage,Paid
45.0,30176.0,High,Small Business,Paid
42.0,12941.0,Medium,Daily Wage,Paid
50.0,15695.0,Medium,Commission,Default
55.0,49169.0,Low,Daily Wage,Default
23.0,35553.0,Low,Salary,Paid
61.0,48965.0,High,Salary,Paid
62.0,48218.0,Medium,Small Business,Default
49.0,35359.0,Low,Small Business,Paid
62.0,34816.0,High,Salary,Paid
64.0,18378.0,High,Salary,Paid
38.0,11881.0,High,Small Business,Paid
